Topic,Count,Name,Representation,Representative_Docs
209,46,209_losangeles queer_makeup_dragqueen_losangeles queer lgbt,"['losangeles queer', 'makeup', 'dragqueen', 'losangeles queer lgbt', 'queer lgbt', 'style fashion', 'makeup style fashion', 'dragqueen makeup style', 'makeup style', 'drag dragqueen makeup', 'dragqueen makeup', 'drag dragqueen', 'drag', 'queer', 'fashion']","['.\n.\n.\n\ndrag dragqueen makeup style fashion sundayfunday losangeles queer lgbt queen rupaulsdragrace wig… https://t.co/y7v52oxa2g', '.\n.\n.\n\ndrag dragqueen makeup style fashion sundayfunday losangeles queer lgbt queen rupaulsdragrace wig… https://t.co/9lr1bu5wac', '.\n.\n.\n\ndrag dragqueen makeup style fashion sundayfunday losangeles queer lgbt queen rupaulsdragrace wig… https://t.co/qe2drz5hdv']"
210,45,210_petitions_sign_to sign_petition,"['petitions', 'sign', 'to sign', 'petition', 'petitions to', 'this petition', 'can sign', 'petitions to sign', 'signing', 'please sign', 'more petitions', 'sign the', 'you can sign', 'signed this petition', 'thread']","['here are petitions you can sign right now to demand justice and support the blacklivesmatter movement.  https://t.co/vda6myilmq', 'here are petitions you can sign now to demand justice and support the blacklivesmatter movement: https://t.co/vda6myilmq', 'petitions to sign. blacklivesmatter']"
211,45,211_taylor breonna_taylor breonna taylor_breonna taylor breonna_breonna taylor,"['taylor breonna', 'taylor breonna taylor', 'breonna taylor breonna', 'breonna taylor', 'taylor', 'breonna', 'about breonna taylor', 'about breonna', 'the breonna', 'the breonna taylor', 'taylor rip breonna', 'the theatrics', 'hat breonna', 'harder for breonna', 'see the breonna']","['breonna taylor', 'breonna taylor', 'breonna taylor']"
212,45,212_blackouttuesday_justiceforgeorgefloyd_blackouttuesday justiceforgeorgefloyd_blackoutday2020,"['blackouttuesday', 'justiceforgeorgefloyd', 'blackouttuesday justiceforgeorgefloyd', 'blackoutday2020', 'blackouttuesday blackoutday2020', 'theshowmustbepaused', 'blackouttuesday blacklivesmatter', 'blacklivesmatter blackouttuesday', 'georgefloyd', 'justiceforgeorgefloyd https co', 'justiceforgeorgefloyd https', 'tonight justice', 'let our little', 'little lights', 'little lights shine']","['we let our little lights shine in the neighborhood tonight. \njustice\nblacklivesmatter georgefloyd https://t.co/cnquacrueg', 'we let our little lights shine in the neighborhood tonight. \njustice\nblacklivesmatter georgefloyd https://t.co/lwdhhgebv6', 'we let our little lights shine in the neighborhood tonight. \njustice\nblacklivesmatter georgefloyd https://t.co/etvgj7zmew']"
213,44,213_my heart_heart_tears_heartbreaking,"['my heart', 'heart', 'tears', 'heartbreaking', 'my heart is', 'heart is', 'heartbreaking blacklivesmatter', 'hurts', 'pain', 'my', 'so', 'tears are', 'many tears', 'blacklivesmatters my heart', 'so heartbreaking blacklivesmatter']","['i honestly can’t remember the last time a whole day went by where i didn’t cry at least once. my heart breaks for y’all. blacklivesmatter', 'my heart is hurts, the tears are still falling 🙏🏾 keedronbryant georgefloyd letusbreathe nojusticenopeace dtla https://t.co/hx2s1lijwt', 'blacklivesmatter  period. im sitting here reading, absorbing, donating to blm. my heart is present and breaking fo… https://t.co/yw6mti9cjc']"
214,44,214_statue_statue of_statues_statue in,"['statue', 'statue of', 'statues', 'statue in', 'statue of hitler', 'vandalized', 'of hitler', '24 hours', 'monument', 'bristol', 'council', 'the bristol statue', 'the council', 'the council after', 'been removed by']","['booooooooo\n\n the bristol statue of blm protester jen reid has been removed by the council after 24 hours  https://t.co/zs7q99zp5l', 'nice‼️ the bristol statue of blm protester jen reid has been removed by the council after 24 hours  https://t.co/oitrylwk9b', 'the bristol statue of blm protester jen reid has been removed by the council after 24 hours  https://t.co/onhhk809ct']"
215,44,215_femboy_hooters_femboy hooters_femboys,"['femboy', 'hooters', 'femboy hooters', 'femboys', 'femboy friday', 'femboys are', 'to femboy hooters', 'to femboy', 'friday', 'cashmeet', 'going to femboy', 'my femboy', 'hooters or', 'femboy hooters or', 'love femboys']","['femboy friday’s', 'i just wanna go to femboy hooters 😔', 'we going to femboy hooters or what?']"
216,43,216_via change black_change black lives_change black_activists justice for,"['via change black', 'change black lives', 'change black', 'activists justice for', 'activists justice', 'tony mcdade sign', 'matter activists justice', 'mcdade sign the', 'mcdade sign', 'for tony', 'justice for tony', 'for tony mcdade', 'tony mcdade', 'lives matter activists', 'matter activists']","['black lives matter activists: justice for tony mcdade - sign the petition! https://t.co/nju60dqerc via @change', 'black lives matter activists: justice for tony mcdade - sign the petition! https://t.co/psiox5csks via @change', 'black lives matter activists: justice for tony mcdade - sign the petition! https://t.co/q8lgc1wnrc via @change']"
217,43,217_netflix_on netflix_collection_13th,"['netflix', 'on netflix', 'collection', '13th', 'blacklivesmatter netflix', 'matter collection', 'lives matter collection', 'section', 'netflix blm', 'series', 'movie', 'netflix blacklivesmatter', 'netflix https co', 'netflix https', 'netflix you']","['@cassswitt watch the 13th documentary on netflix blm', 'netflix deadass has a black lives matter collection ✊🏾', 'watch the 13th on netflix. blacklivesmatter']"
218,42,218_georgefloyd_mama mama_mama_mama mama mama,"['georgefloyd', 'mama mama', 'mama', 'mama mama mama', 'georgefloyd georgefloyd', 'sayhisname georgefloyd', 'bla', 'neyocompound', 'me all in', 'rip', 'all in my', 'bla bla', 'his mom', 'george floyd rip', 'floyd rip']","['imagine eric garner greeting georgefloyd in heaven saying that how they broke my neck but use a chokehold.', 'take one hr out of your day from 7-8pm to show up tonight at pasadena city hall 🗣🗣🗣 sayhisname georgefloyd', '“mama, mama, mama, mama, mama.  mama, i love you.""\ngeorgefloydbodycam georgefloyd']"
