Topic,Count,Name,Representation,Representative_Docs
233,39,233_policeunions qualifiedimmunity_qualifiedimmunity_policeunions_qualifiedimmunity patriotact blacklivesmatter,"['policeunions qualifiedimmunity', 'qualifiedimmunity', 'policeunions', 'qualifiedimmunity patriotact blacklivesmatter', 'patriotact blacklivesmatter brownlivesmatter', 'patriotact blacklivesmatter', 'policeunions qualifiedimmunity patriotact', 'qualifiedimmunity patriotact', 'patriotact', 'blacklivesmatter brownlivesmatter https', 'brownlivesmatter https co', 'brownlivesmatter https', 'blacklivesmatter brownlivesmatter', 'brownlivesmatter', 'dismantle policeunions']","['policeunions qualifiedimmunity patriotact \nblacklivesmatter brownlivesmatter\nhttps://t.co/4qkl14dbnb', 'policeunions qualifiedimmunity patriotact \nblacklivesmatter brownlivesmatter https://t.co/xqkwllogld', 'policeunions qualifiedimmunity patriotact \nblacklivesmatter brownlivesmatter https://t.co/yzkurpen2d']"
234,39,234_murdered today great_long days since_today great day_long days,"['murdered today great', 'long days since', 'today great day', 'long days', 'today great', 'day for', 'great day for', 'great day', 'murdered today', 'was murdered today', 'today', 'since breonnataylor was', 'since breonnataylor', 'breonnataylor was murdered', 'it been']","['today is friday, april 23rd. it’s been 406 long days since breonnataylor was murdered.\n\ntoday’s a great day for br… https://t.co/paqtack7aj', 'today is tuesday, june 15th. it’s been 459 long days since breonnataylor was murdered.\n\ntoday’s a great day for br… https://t.co/jm5dofpcpx', 'today is saturday, may 15th. it’s been 428 long days since breonnataylor was murdered.\n\ntoday’s a great day for br… https://t.co/mif92njowk']"
235,38,235_her_say her name_say her_her name,"['her', 'say her name', 'say her', 'her name', 'justiceforbreonnataylor', 'sayhername', 'name', 'she', 'breonnataylor', 'say', 'her family', 'her name justiceforbreonnataylor', 'name justiceforbreonnataylor', 'justice', 'justice breonnataylor']","['justiceforbreonnataylor \nsay her name. breonna taylor \n‼️🤍‼️🤍‼️✊🏾🙏🏾 blm protectblackwomen… https://t.co/vkfg1mkhrl', 'say her name✊🏾\nbreonataylor \nsayhername \njusticeforbreonnataylor @ los angeles, california https://t.co/xunz4u80ln', 'say her name justiceforbreonnataylor']"
236,38,236_prayers_praying_praying for_pray,"['prayers', 'praying', 'praying for', 'pray', 'faith', 'prayers for', 'unity', 'praying for you', 'family', 'pray for', 'jacob blake', 'blake', 'believers https co', 'believers https', 'unity justice god']","['in my hood and all over the world let us pray. 🙏🏼✊🏽🖤🤎🤍 blacklivesmatter justiceforgeorgefloyd myhood hood… https://t.co/1ozteivcp0', 'revival knownbylove jesus faith blacklivesmatter unity justice god peace believe church believers… https://t.co/g97o8ucj5x', 'revival knownbylove jesus faith blacklivesmatter unity justice god peace believe church believers… https://t.co/0vhbkmgelu']"
237,38,237_day for https_long days since_murdered today great_long days,"['day for https', 'long days since', 'murdered today great', 'long days', 'today great', 'today great day', 'great day for', 'great day', 'day for', 'for https co', 'for https', 'was murdered today', 'murdered today', 'today', 'days since breonnataylor']","['today is thursday, april 28th. it’s been 412 long days since breonnataylor was murdered.\n\ntoday’s a great day for… https://t.co/8bvn8qybdz', 'today is wednesday, may 26th. it’s been 439 long days since breonnataylor was murdered.\n\ntoday’s a great day for b… https://t.co/aeybcwohmt', 'today is wednesday, may 26th. it’s been 439 long days since breonnataylor was murdered.\n\ntoday’s a great day for b… https://t.co/3r1zaoubry']"
238,37,238_mood_current mood_mentalhealthisreal_mentalhealthisreal mentalhealth,"['mood', 'current mood', 'mentalhealthisreal', 'mentalhealthisreal mentalhealth', 'mentalhealth', 'mood blacklivesmatter', 'current', 'loveandbeloved', 'loveandbeloved phdodson', 'phdodson', 'workingwhileblack', 'mood blacklivesmatter https', 'workingwhileblack blacklivesmatter georgefloyd', 'workingwhileblack blacklivesmatter', 'blacklivesmatter georgefloyd justiceforgeorgefloyd']","['blacklivesmatter mentalhealthisreal mentalhealth loveandbeloved phdodson', 'current mood 🤦🏽\u200d♂️ vía @tiktok_us \n\nworkingwhileblack blacklivesmatter\xa0 georgefloyd justiceforgeorgefloyd… https://t.co/brlzw52uhu', 'current mood 🤦🏽\u200d♂️ vía @tiktok_us \n\nworkingwhileblack blacklivesmatter\xa0 georgefloyd justiceforgeorgefloyd… https://t.co/08wndxufor']"
239,37,239_murdered today good_today good_was murdered today_murdered today,"['murdered today good', 'today good', 'was murdered today', 'murdered today', 'good da https', 'good da', 'today good da', 'it been', 'today', 'since breonnataylor was', 'since breonnataylor', 'breonnataylor was murdered', 'months', 'days since breonnataylor', 'days since']","['today is thursday, december  17th. it’s been 9 months, 4 days since breonnataylor was murdered.\n\ntoday’s a good da… https://t.co/zifn0qz7q9', 'today is saturday, december  19th. it’s been 9 months, 6 days since breonnataylor was murdered.\n\ntoday’s a good da… https://t.co/pr7e8tazrc', 'today is saturday, december  19th. it’s been 9 months, 6 days since breonnataylor was murdered.\n\ntoday’s a good da… https://t.co/f7joj5k8tk']"
240,37,240_retweet reply_tag people_retweet reply with_reply with,"['retweet reply', 'tag people', 'retweet reply with', 'reply with', 'reply', 'the same and', 'same and', 'and tag people', 'same and tag', 'and tag', 'tag', 'do the same', 'retweet', 'osakamatters', 'reply with blacklivesmatter']","['- retweet\n- reply with blacklivesmatter\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\nraisethedegree \n- do the same and tag 5 people… https://t.co/v7cj5k8yvj', 'blacklivesmatter\xa0\xa0\xa0     \n- retweet\n- reply with blacklivesmatter\xa0\xa0\xa0     \n- do the same and tag 5 people… https://t.co/fayx4v2bs6', 'retweet\n- reply with blacklivesmatter\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0\xa0     \nraisethedegree \n- do the same and tag 5 people… https://t.co/fxfdldzotg']"
241,37,241_than traveling road_more than traveling_traveling road show_extreme left and,"['than traveling road', 'more than traveling', 'traveling road show', 'extreme left and', 'show paid by', 'traveling road', 'road show paid', 'know now this', 'road show', 'than traveling', 'the dnc blm', 'show paid', 'by the extreme', 'and the dnc', 'the extreme left']","['@donnaledford10 i know now this is nothing more than a traveling road show paid by the extreme left and the dnc/ blm', '@realdonaldtrump i know now this is nothing more than a traveling road show paid by the extreme left and the dnc/ blm', '@realdonaldtrump i know now this is nothing more than a traveling road show paid by the extreme left and the dnc/ blm']"
242,37,242_justice for george_for george floyd_for george_petition,"['justice for george', 'for george floyd', 'for george', 'petition', 'the petition', 'sign the', 'sign', 'floyd sign the', 'floyd sign', 'george floyd sign', 'sign the petition', 'justice for', 'change justice for', 'via change justice', 'change justice']","['justice for george floyd - sign the petition! https://t.co/6wosvpzbmu via @change', 'justice for george floyd - sign the petition! https://t.co/gefie4yt9b', 'justice for george floyd - sign the petition! https://t.co/3d9md3ilzd']"
243,36,243_coronavirus_chinesevirus_chinavirus_covid_19,"['coronavirus', 'chinesevirus', 'chinavirus', 'covid_19', 'coronavirus chinesevirus', 'covid19', 'chinesevirus coronavirus', 'qanon', 'chinaliedpeopledied', 'corona', 'the coronavirus', 'coronavirusupdate', 'chinavirus coronavirus', 'chinavirus chinesevirus', 'chinesevirus https co']","['qanon qanon thegreatawakening coronavirus covid_19 covid19 chinavirus chinesevirus lovethyneighbor… https://t.co/moyjjaolcj', 'chinaliedpeopledied\nwuhankungfluchinavirus  \nchinaliedpeopledied\nwetmarket chinavirus coronavirus covid19… https://t.co/mngtnbt054', 'chinaliedpeopledied\nwuhankungfluchinavirus  \nchinaliedpeopledied\nwetmarket chinavirus coronavirus covid19… https://t.co/wivesevmyq']"
244,36,244_endwhitesupremacy_blacklivesmatter endwhitesupremacy_endwhitesupremacy blacklivesmatter_nojusticenopeace,"['endwhitesupremacy', 'blacklivesmatter endwhitesupremacy', 'endwhitesupremacy blacklivesmatter', 'nojusticenopeace', 'endwhiteprivilege blacklivesmatter', 'blacklivesmatter nojusticenopeace', 'endwhiteprivilege', 'blacklivesmatter', 'enoughisenough', 'nojusticenopeace blacklivesmatter', 'endpolicebrutality', 'blacklivesmatter enoughisenough', 'kashmireduran blacklivesmatter', 'endwhitesupremacy blacklivesmatter kendrick38', 'klbknews']","['👇enoughisenough endwhitesupremacy blacklivesmatter', '@y0ungheisenburg enoughisenough endwhiteprivilege blacklivesmatter endwhitesupremacy', 'endwhitesupremacy blacklivesmatter']"
245,36,245_slaves_her_she_harris is,"['slaves', 'her', 'she', 'harris is', 'slave', 'kamala harris is', 'kamala harris', 'harris', 'kamala', 'owner', 'slave owner', 'descended from slave', 'descended from', 'descended', 'was slave owner']","['@kamalaharris your fathers owned slaves!! you  are evil.  kamala harris is a descendant of an infamous, slave owner… https://t.co/yag60xnk3t', 'left is furious after i revealed kamala harris is descended from slave o... https://t.co/s0vfasaaxi via @youtube', 'left is furious after i revealed kamala harris is descended from slave o... https://t.co/8c48ca5esq via @youtube']"
246,36,246_los angeles hollywood_angeles hollywood_angeles hollywood california_hollywood california https,"['los angeles hollywood', 'angeles hollywood', 'angeles hollywood california', 'hollywood california https', 'hollywood california', 'hollywood', 'los angeles', 'angeles', 'los', 'california https', 'california https co', 'california', 'usa los', 'usa los angeles', 'blacklivesmatter los angeles']","['blacklivesmatter @ los angeles/hollywood california https://t.co/6bpb8ekclp', 'blacklivesmatter @ los angeles/hollywood california https://t.co/j0ubtipqu6', 'blacklivesmatter @ los angeles/hollywood california https://t.co/kix65flkri']"
247,35,247_happy_day_happy femboy friday_happy femboy,"['happy', 'day', 'happy femboy friday', 'happy femboy', 'femboy friday', 'femboy friday https', 'happy national', 'friday https', 'friday https co', 'dyke day', 'blm https co', 'blm https', 'my man', 'friday', 'jigga']","['i’m so happy it’s 4/20 &amp; i no longer slave my life away to the weed shop 💕 i’m spending my day w/ children + nightt… https://t.co/dbiiochlhj', 'i find it so sweet how my man cheers me up everytime something neg happens by saying “at least you have me, and we eat good food together”', 'happy national 4/10 today! little throw back to last years @worldofoutlaws show in the harley van dyke 5h at vegas! https://t.co/ngzdtiy0ls']"
248,35,248_today good day_murdered today good_today good_good day,"['today good day', 'murdered today good', 'today good', 'good day', 'was murdered today', 'murdered today', 'good day https', 'day https', 'day https co', 'it been', 'today', 'since breonnataylor was', 'since breonnataylor', 'breonnataylor was murdered', 'months']","['today is saturday, january 16th. it’s been 10 months, 3 days since breonnataylor was murdered.\n\ntoday’s a good day… https://t.co/ndui8ozynn', 'today is tuesday, january 19th. it’s been 10 months, 6 days since breonnataylor was murdered.\n\ntoday’s a good day… https://t.co/8h6ko9a2hi', 'today is sunday, january 17th. it’s been 10 months, 4 days since breonnataylor was murdered.\n\ntoday’s a good day f… https://t.co/phlstf6osf']"
249,35,249_enough_enough is enough_enough is_is enough,"['enough', 'enough is enough', 'enough is', 'is enough', 'enough blacklivesmatter', 'is enough blacklivesmatter', 'blacklivesmatter enough is', 'blacklivesmatter enough', 'enough blacklivesmatter https', 'enough blm', 'is', 'freestar106', 'enough blacklivesmatter enough', '𝗘𝗡𝗢𝗨𝗚𝗛', 'for enough']","['enough is enough. blacklivesmatter', 'enough is enough.  blacklivesmatter', 'enough is enough blacklivesmatter']"
250,34,250_picture_photo_picture is_blacklivesmatter https co,"['picture', 'photo', 'picture is', 'blacklivesmatter https co', 'blacklivesmatter https', 'this picture', 'photography', 'the laprotest', 'gabriela631230', 'worth thousand', 'picture is worth', 'blacklivesmatter photography', 'is worth thousand', 'worth thousand words', 'blacklivesmatter']","['a picture is worth a thousand words. stay safe, la. blacklivesmatter icantbreathe https://t.co/ktnakbt8lt', '@gabriela631230 gracias @gabriela631230 \n2/7reto a @alja16948978 \na 7 días de de fotos en blanco y negro sin comentarios sin  personas .', 'i took this picture of my wife yesterday, and just love it! we did another blacklivesmatter @caravan4justice yeste… https://t.co/args4gz0r3']"
251,34,251_officialmlk3_officialmlk3 george floyd_officialmlk3 george_floyd officialmlk3,"['officialmlk3', 'officialmlk3 george floyd', 'officialmlk3 george', 'floyd officialmlk3', 'george floyd officialmlk3', 'floyd officialmlk3 george', 'george floyd', 'floyd', 'george', 'georgefloyd officialmlk3 george', 'georgefloyd officialmlk3', 'blacklivesmatter officialmlk3 george', 'blacklivesmatter officialmlk3', 'floyd blacklivesmatter officialmlk3', 'officialmlk3 georgefloyd']","['@officialmlk3 george floyd', '@officialmlk3 george floyd', '@officialmlk3 george floyd']"
252,34,252_wetback_wetbacks_called wetback_called,"['wetback', 'wetbacks', 'called wetback', 'called', 'got called wetback', 'of unbrokendsgns', 'derogatory https co', 'or spic', 'knowingly use the', 'how derogatory', 'the word wetback', 'slur cannot', 'this is jennifer', 'knowing how derogatory', 'knowingly use']","['this is jennifer rando @_wubinkski of @unbrokendsgns knowingly use the word wetback despite knowing how derogatory… https://t.co/1l3wqwhqna', 'this is jennifer rando @_wubinski of @unbrokendsgns knowingly use the word wetback despite knowing how derogatory i… https://t.co/shhw8mhuqn', 'wetback']"
253,33,253_nypdscanner_georgefloyd georgefloydprotest_georgefloydprotest_policescanner,"['nypdscanner', 'georgefloyd georgefloydprotest', 'georgefloydprotest', 'policescanner', 'policescanner georgefloyd', 'policescanner georgefloyd georgefloydprotest', 'nypdscanner policescanner georgefloyd', 'nypdscanner policescanner', 'georgefloydprotest nycprotests', 'georgefloyd georgefloydprotest nycprotests', 'nycprotests', 'georgefloydprotest nycprotests protests2020', 'nycprotests protests2020', 'nypdscanner georgefloyd', 'nypdscanner georgefloyd georgefloydprotest']","['crosby &amp; houston calls for additional units. nypdscanner policescanner georgefloyd georgefloydprotest nycprotests protests2020', 'lexington &amp; 35th calling for additional units. nypdscanner policescanner georgefloyd georgefloydprotest nycprotests protests2020', 'bryantpark calling for additional units. nypdscanner policescanner georgefloyd georgefloydprotest nycprotests protests2020']"
254,33,254_blacklivesmatter thank_blacklivesmatter thank you_thank_thank you,"['blacklivesmatter thank', 'blacklivesmatter thank you', 'thank', 'thank you', 'thank you blacklivesmatter', 'you blacklivesmatter', 'you blacklivesmatter thank', 'thank you for', 'you for', 'mrpicklesshops', 'you', 'service', 'you mrpicklesshops blacklivesmatter', 'mrpicklesshops blacklivesmatter thank', 'mrpicklesshops blacklivesmatter']","['thank you !  blacklivesmatter', 'thank you ! blacklivesmatter', 'thank you. \nblacklivesmatter']"
255,33,255_blm_understand_understand blm_support blm,"['blm', 'understand', 'understand blm', 'support blm', 'prot', 'prot https', 'prot https co', 'blm stands for', 'blm stands', 'don', 'blm is', 'do not', 'you haven', 'that', 'still don']","['yer tellin me that pd’s do not have a “don’t do tfc stps for exp tags in a pandemic”❓ffs🤬\nsaytheirnames blm', '@eigenrobot just read about rokos basilisks so blm is torturing everyone who predicted blm, but didn’t do enough to bring blm about?', ""dmjse  aka mammy &amp; wonkas 4091:correction &amp; the x-box chicken liar'$: all day dyke sgt. 🐓nuggets reporting 4 dyk… https://t.co/rp55fzcnmz""]"
256,33,256_park_park https_park https co_blm land,"['park', 'park https', 'park https co', 'blm land', 'joshua', 'joshua tree', 'tree', 'tree blm land', 'tree blm', 'land south https', 'land south', 'blm land south', 'joshua tree blm', 'south https', 'south https co']","['just posted a photo @ joshua tree blm land south https://t.co/toiybmptlk', 'just posted a photo @ joshua tree blm land south https://t.co/w2rswnpeb1', 'just posted a photo @ joshua tree blm land south https://t.co/lmspt4xpfj']"
257,33,257_venice_venice beach_venice beach https_beach https co,"['venice', 'venice beach', 'venice beach https', 'beach https co', 'beach https', 'blacklivesmatter venice', 'beach', 'venice https', 'venice https co', 'blacklivesmatter venice beach', 'blm venice', 'venicebeach', 'blm venice beach', 'venice california', 'stands for justice']","['world peace. 🌎💙 venice beach venicebeach drumcircle worldpeace blacklivesmatter @ venice beach https://t.co/lvkb48vjwa', 'blacklivesmatter @ venice beach https://t.co/cqo9qqnndc', 'blacklivesmatter @ venice beach https://t.co/gdlr34pabd']"
258,33,258_knee_took knee_take knee_taking knee,"['knee', 'took knee', 'take knee', 'taking knee', 'kneeling', 'knees', 'kneel', 'knee for', 'taking', 'took', 'colinkaepernick took knee', 'take knee georgefloyd', 'should take knee', 'take knee for', 'have knelt']","['this is why colinkaepernick took a knee. this country is broken. this isn’t the 1960s. georgefloyd https://t.co/roe9y2b6d6', '@jessekellydc @wnba i’ll watch only if they play on their knees.\ntaking a knee for 10 seconds is a joke and an insult to blm', 'colinkaepernick took a knee: they laughed. now the world takes a knee @dodgers @sfgiants and we listen. thank you for your courage blm']"
259,33,259_power is america_black power is_power is_black power,"['power is america', 'black power is', 'power is', 'black power', 'is america', 'power', 'america', 'black', 'is america https', 'is america black', 'truth black power', 'america black power', 'is america amp', 'is america blm', 'america black']","['black power is america\n ✊🏿✊🏾🇺🇸\nblm✊🏿✊🏾🇺🇸', 'black power is america \n✊🏿✊🏾🇺🇸', 'black power is america ✊🏿✊🏾🇺🇸']"
260,32,260_flowers_flowers for_flowers for breonnataylor_for breonnataylor,"['flowers', 'flowers for', 'flowers for breonnataylor', 'for breonnataylor', 'flowers for georgefloyd', 'roses', 'breonnataylor', 'for georgefloyd', 'dykes like receiving', 'like receiving flowers', 'receiving flowers too', 'receiving flowers', 'like receiving', 'flowers too', 'dykes like']","['us dykes like receiving flowers too 😤', 'flowers for breonnataylor https://t.co/wkapaemglt', 'flowers for breonnataylor ❣ https://t.co/ypmtmjvjdr']"
261,31,261_sayhername sayhername_sayhername_sayhername sayhername sayhername_sisterhood forever sayhername,"['sayhername sayhername', 'sayhername', 'sayhername sayhername sayhername', 'sisterhood forever sayhername', 'sayhername sayhisname stephen', 'sayhisname stephen wamukota', 'sayhisname stephen', 'sayhername not good', 'just no sick', 'sayhername niawilson sayhername', 'sayhername niawilson', 'sayhername deadname remover', 'sayhername deadname', 'sayhername brotherhood and', 'sayhername brotherhood']","['sayhername', 'sayhername', 'sayhername']"
262,31,262_hitler youth_youth_hitler_the hitler youth,"['hitler youth', 'youth', 'hitler', 'the hitler youth', 'the hitler', 'youth type', 'this hitler youth', 'youth type shit', 'young hitler', 'hitler youth type', 'about the hitler', 'type shit', 'this hitler', 'grade', 'student']","['hitler youth', 'hitler youth.', 'hitler youth?']"
263,30,263_apple_applemusic_apple music_music,"['apple', 'applemusic', 'apple music', 'music', 'spirituals on apple', 'negro spirituals on', 'on apple music', 'on apple', 'spirituals on', 'applemusic https', 'applemusic https co', 'negro spirituals', 'spirituals', 'browse', 'blm applemusic']","['so...i was bored and googled negro spirituals on apple music and i 🤭😩😂😂 https://t.co/p5npeld7hl', 'aye google negro spirituals on apple music lmao 😂', 'apple music only playing black music right now! blm applemusic https://t.co/tme2lyk7bx']"
264,30,264_nazi rally_rally_1939_madison square,"['nazi rally', 'rally', '1939', 'madison square', 'square garden', 'madison square garden', 'in 1939', 'garden', 'madison', 'was full', 'square', 'nazi', 'full house', 'full', 'rally at']","['in 1939 the nazis held a rally at madison square garden | topic https://t.co/z4omvhbsrk via @youtube\nlet’s ban madi… https://t.co/f2isgetoc6', '@sallyalbright this madison square garden rally in 1939 was a full-on nazi rally. the language and ideas are spouse… https://t.co/k7qxgjqlcm', '@sallyalbright this madison square garden rally in 1939 was a full-on nazi rally. the language and ideas espoused w… https://t.co/zeccjorlvu']"
265,30,265_paki_na_ng_ang,"['paki', 'na', 'ng', 'ang', 'pag', 'ko', 'naman', 'ako', 'po', 'kay', 'ka', 'sa', 'wala', 'kung', 'pakis']","['matulog na tayo! wala talagang paki si @tellemjaye at ang @careless_ph pag may issue si nadine. sila pa nga ang nag… https://t.co/ntwsnq2oso', 'paki spam ng block n report paki alisan ng twitter mgs to wag nyo na patulan 🥱😴 \n\nmaka judge mga tao pero ang totoo… https://t.co/ngu2lfstvh', '@missmarisracal mao na gayawyaw ka dai kay wla mu na hatagan hinabang sa gobyerno??? pag sure diha paki ulaw raka. https://t.co/aoeeidgrw4']"
266,30,266_blacklivesmatter theshowmustbepaused https_theshowmustbepaused https_theshowmustbepaused https co_blacklivesmatter theshowmustbepaused,"['blacklivesmatter theshowmustbepaused https', 'theshowmustbepaused https', 'theshowmustbepaused https co', 'blacklivesmatter theshowmustbepaused', 'theshowmustbepaused', 'blacklivesmatter', 'theshowmustbepaused blacklivesmatter https', 'theshowmustbepaused blacklivesmatter', 'it bears repeating', 'is on repeat', 'is whole thing', 'it bears', 'jhre2jihkg blacklivesmatter', 'ifsvwfwaed', 'indysportssteve blackbrandon99']","['blacklivesmatter theshowmustbepaused https://t.co/u7shltllhl', 'blacklivesmatter theshowmustbepaused https://t.co/lnoupkkcrb', 'blacklivesmatter theshowmustbepaused https://t.co/jhre2jihkg']"
267,30,267_comedy_humor_laugh_the laugh,"['comedy', 'humor', 'laugh', 'the laugh', 'comedian', 'your humor', 'comedyshow', 'comedy break', 'comedy show', 'factory https co', 'factory https', 'laugh factory https', 'laugh factory', 'the laugh factory', 'comic']","[""@thelaughfactory can't wait to laugh with you again blm blacklivesmatter✊🏽✊🏾✊🏿 protest comedy @ the laugh facto… https://t.co/vyqstiw8oa"", 'para mentes abiertas y amantes del humor negro . el gran podcast de @joserguzman  😂😂.      el humano es un animal e… https://t.co/ckyutlntiu', 'to be a good comic you must steal ( be influenced) from the best. watch dean martin roasts and the duck van dyke sh… https://t.co/vc400kaewq']"
268,30,268_truth_georgefloyd_nojusticenopeace_georgefloyd nojusticenopeace,"['truth', 'georgefloyd', 'nojusticenopeace', 'georgefloyd nojusticenopeace', 'nojusticenopeace georgefloyd', 'truth georgefloyd', 'georgefloyd icantbreathe nojusticenopeace', 'georgefloyd mrcheckpoint', 'versus the', 'icantbreathe nojusticenopeace https', 'mrcheckpoint', 'revolution', 'truth nojusticenopeace', 'icantbreathe nojusticenopeace', 'nojusticenopeace https']","['this isn’t about race, this is about the people versus the powers that be. it is about us versus the unchecked. georgefloyd', ""“you’re not to be so blind with patriotism that you can't face reality. wrong is wrong, no matter who does it or says it.” georgefloyd"", 'truth fuckracism georgefloyd is georgestinney  \nneverforget\n@djpooh\non this day in 1944, george stinney, 14, b… https://t.co/4p0blbidjy']"
269,30,269_slaves_slave_the slave_of the slave,"['slaves', 'slave', 'the slave', 'of the slave', 'the slaves', 'harriet tubman', 'tubman', 'freed', 'and slaves', 'harriet', 'white people kanyewest', 'freed 000', 'people kanyewest is', 'people kanyewest', 'tubman never']","['“every 1stb son in🇪🇬will die, from the firstborn son of pharaoh, who sits on the throne, to the 1stb of the slave g… https://t.co/bdxqihrjek', '""harriet tubman never freed the slaves - she just helped them go work for other white people.""\n\n@kanyewest is not a… https://t.co/wbqtk7db1d', '""harriet tubman never freed the slaves - she just had the slaves go work for other white people.""\n\n@kanyewest is no… https://t.co/xhx1plbxee']"
