head,tail,relation,weight
"(1308682916780601088, 't')","(815726335, 'u')",replied_to,
"(1309504501393448960, 't')","(199120695, 'u')",replied_to,
"(1309933126035017728, 't')","(2185190036, 'u')",replied_to,
"(1310107396815990784, 't')","(1267323257608380416, 'u')",replied_to,
"(1311329715114844160, 't')","(52336206, 'u')",replied_to,
"(1311513975901753088, 't')","(1272083018866290688, 'u')",replied_to,
"(1312452408199376896, 't')","(20419001, 'u')",replied_to,
"(1312610966392069888, 't')","(56440828, 'u')",replied_to,
"(1312759481973895168, 't')","(199120695, 'u')",replied_to,
"(1313005898873278464, 't')","(267418331, 'u')",replied_to,
"(1313205464457306112, 't')","(23865611, 'u')",replied_to,
"(1315412586733555712, 't')","(11006752, 'u')",replied_to,
"(1316061430727106560, 't')","(896611976117272576, 'u')",replied_to,
"(1316435162171871232, 't')","(14303901, 'u')",replied_to,
"(1316745398745088000, 't')","(23832586, 'u')",replied_to,
"(1317573955318808576, 't')","(247977494, 'u')",replied_to,
"(1317574310723166208, 't')","(247977494, 'u')",replied_to,
"(1317665874333949952, 't')","(781565432499240960, 'u')",replied_to,
"(1318212190076194816, 't')","(39189472, 'u')",replied_to,
"(1318390001697128448, 't')","(71426412, 'u')",replied_to,
"(1320973503617658880, 't')","(846945457, 'u')",replied_to,
"(1322703108347097088, 't')","(1196280890625626112, 'u')",replied_to,
"(1323424817064910848, 't')","(3924209712, 'u')",replied_to,
"(1324785748990545920, 't')","(2545951341, 'u')",replied_to,
"(1326401407486996480, 't')","(470918844, 'u')",replied_to,
"(1326404775001395200, 't')","(470918844, 'u')",replied_to,
"(1326510985184645120, 't')","(2185190036, 'u')",replied_to,
"(1326578835177918464, 't')","(1302317818398949376, 'u')",replied_to,
"(1327019156508532736, 't')","(67109577, 'u')",replied_to,
"(1327404366345633792, 't')","(928741500, 'u')",replied_to,
"(1328387154494382080, 't')","(136561003, 'u')",replied_to,
"(1328453821895303168, 't')","(136561003, 'u')",replied_to,
"(1328491569268154368, 't')","(15225493, 'u')",replied_to,
"(1329691464675196928, 't')","(29148038, 'u')",replied_to,
"(1330670517066481664, 't')","(1056920744, 'u')",replied_to,
"(1331029619101798400, 't')","(225923287, 'u')",replied_to,
"(1331624945831399424, 't')","(1060580285975150592, 'u')",replied_to,
"(1332794712651083776, 't')","(1227501708374266112, 'u')",replied_to,
"(1333317367472918528, 't')","(1855881091, 'u')",replied_to,
"(1335684552786759680, 't')","(1325602609449762816, 'u')",replied_to,
"(1335780107806416896, 't')","(991106028065341440, 'u')",replied_to,
"(1337058683516297216, 't')","(1012503402352275584, 'u')",replied_to,
"(1339104164933079040, 't')","(4665001987, 'u')",replied_to,
"(1339275206683021312, 't')","(3184218369, 'u')",replied_to,
"(1341081020318171136, 't')","(2380882842, 'u')",replied_to,
"(1341081538557972480, 't')","(2380882842, 'u')",replied_to,
"(1341902993092825088, 't')","(309187187, 'u')",replied_to,
"(1343289503499177984, 't')","(881611255227629568, 'u')",replied_to,
"(1343746029498167296, 't')","(1007312612177018752, 'u')",replied_to,
"(1345434164640694272, 't')","(2574104766, 'u')",replied_to,
"(1346923774700969984, 't')","(26501176, 'u')",replied_to,
"(1347272696795590912, 't')","(28242940, 'u')",replied_to,
"(1347786178854940672, 't')","(833201181342134272, 'u')",replied_to,
"(1351069294285750272, 't')","(4499019023, 'u')",replied_to,
"(1355149513653014528, 't')","(24471257, 'u')",replied_to,
"(1355250620219838464, 't')","(75544163, 'u')",replied_to,
"(1357070495636574208, 't')","(167430059, 'u')",replied_to,
"(1357856979910225920, 't')","(3316389197, 'u')",replied_to,
"(1358288898422542336, 't')","(952090517684215808, 'u')",replied_to,
"(1359495733536165888, 't')","(1039892963185254400, 'u')",replied_to,
"(1359587846634409984, 't')","(36275453, 'u')",replied_to,
"(1359587847540338688, 't')","(36275453, 'u')",replied_to,
"(1359649006800957440, 't')","(199120695, 'u')",replied_to,
"(1360062162895466496, 't')","(115334561, 'u')",replied_to,
"(1360961282015436800, 't')","(199120695, 'u')",replied_to,
"(1361710678617198592, 't')","(24373832, 'u')",replied_to,
"(1361908242356445184, 't')","(14338572, 'u')",replied_to,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",replied_to,
"(1362489275636310016, 't')","(40487426, 'u')",replied_to,
"(1364289941581144064, 't')","(199120695, 'u')",replied_to,
"(1364720063983493120, 't')","(293714243, 'u')",replied_to,
"(1364926998263435264, 't')","(199120695, 'u')",replied_to,
"(1365874413548097536, 't')","(90324456, 'u')",replied_to,
"(1366481999553208320, 't')","(785189085556203520, 'u')",replied_to,
"(1367552292963020800, 't')","(199120695, 'u')",replied_to,
"(1370214841160327168, 't')","(72691752, 'u')",replied_to,
"(1370371819543306240, 't')","(199120695, 'u')",replied_to,
"(1372052022418010112, 't')","(992195188276707200, 'u')",replied_to,
"(1372216173044011008, 't')","(28609906, 'u')",replied_to,
"(1372244798044733440, 't')","(760161672, 'u')",replied_to,
"(1372278756396519424, 't')","(964795610, 'u')",replied_to,
"(1372314669344378880, 't')","(205253687, 'u')",replied_to,
"(1372413564200255488, 't')","(45295248, 'u')",replied_to,
"(1372445394030923776, 't')","(1296858137547300864, 'u')",replied_to,
"(1372634909685080064, 't')","(995879550469918848, 'u')",replied_to,
"(1373124294826360832, 't')","(20479324, 'u')",replied_to,
"(1373334708386340864, 't')","(1101988349026291584, 'u')",replied_to,
"(1374158437005717504, 't')","(1101988349026291584, 'u')",replied_to,
"(1374575254509522944, 't')","(2323052250, 'u')",replied_to,
"(1374576208873066496, 't')","(2323052250, 'u')",replied_to,
"(1374902301022810112, 't')","(571140850, 'u')",replied_to,
"(1375725455311958016, 't')","(2388098184, 'u')",replied_to,
"(1375823939356663808, 't')","(199120695, 'u')",replied_to,
"(1375879697695838208, 't')","(3222910297, 'u')",replied_to,
"(1376224585201246208, 't')","(16519689, 'u')",replied_to,
"(1376778705318543360, 't')","(1326470837558366208, 'u')",replied_to,
"(1376798503637151488, 't')","(117294809, 'u')",replied_to,
"(1376942002089062400, 't')","(1286356026787151872, 'u')",replied_to,
"(1377103480616230912, 't')","(38748868, 'u')",replied_to,
"(1377335470548340736, 't')","(1325777512408997888, 'u')",replied_to,
"(1378448831407288320, 't')","(2185190036, 'u')",replied_to,
"(1379087225586089984, 't')","(1253604031307624448, 'u')",replied_to,
"(1381261396776652800, 't')","(3099644855, 'u')",replied_to,
"(1381352152178728960, 't')","(1338294906075246592, 'u')",replied_to,
"(1381379998980829184, 't')","(68004188, 'u')",replied_to,
"(1382032391682727936, 't')","(158988614, 'u')",replied_to,
"(1382033227980832768, 't')","(158988614, 'u')",replied_to,
"(1382597553892446208, 't')","(199120695, 'u')",replied_to,
"(1382923150405496832, 't')","(2185190036, 'u')",replied_to,
"(1383153596573777920, 't')","(880251280253255680, 'u')",replied_to,
"(1384616752248590336, 't')","(2526023920, 'u')",replied_to,
"(1385722407512535040, 't')","(1046361864, 'u')",replied_to,
"(1386106414406397952, 't')","(1365850744507760640, 'u')",replied_to,
"(1386583243747578112, 't')","(2323052250, 'u')",replied_to,
"(1387421671598936064, 't')","(756750630920663040, 'u')",replied_to,
"(1387500830488633088, 't')","(1193291784413040640, 'u')",replied_to,
"(1388179486173122560, 't')","(199120695, 'u')",replied_to,
"(1388193151039401984, 't')","(1135553270150094848, 'u')",replied_to,
"(1388200498730131712, 't')","(282208660, 'u')",replied_to,
"(1388814410857123840, 't')","(68004188, 'u')",replied_to,
"(1398136800183349248, 't')","(2174432401, 'u')",replied_to,
"(1400444558622691328, 't')","(2185190036, 'u')",replied_to,
"(1402462441343053824, 't')","(1377855701091975168, 'u')",replied_to,
"(1403213425933619200, 't')","(4499019023, 'u')",replied_to,
"(1403223344858624000, 't')","(4499019023, 'u')",replied_to,
"(1404010799786459136, 't')","(4499019023, 'u')",replied_to,
"(1404251472108216320, 't')","(1625258658, 'u')",replied_to,
"(1404521827989278720, 't')","(812213957209432064, 'u')",replied_to,
"(1405219342648627200, 't')","(108633043, 'u')",replied_to,
"(1405352451138490368, 't')","(4499019023, 'u')",replied_to,
"(1405355610426642432, 't')","(4499019023, 'u')",replied_to,
"(1247627126804627712, 't')","(14827461, 'u')",mentioned,
"(1262689136223219712, 't')","(769012459, 'u')",mentioned,
"(1267984680260952064, 't')","(1577684868, 'u')",mentioned,
"(1271875509568147712, 't')","(898771784, 'u')",mentioned,
"(1277628613349658624, 't')","(3402249335, 'u')",mentioned,
"(1293351956069531648, 't')","(2819569344, 'u')",mentioned,
"(1293351956069531648, 't')","(1621508520, 'u')",mentioned,
"(1298720291112148992, 't')","(1621508520, 'u')",mentioned,
"(1330670517066481664, 't')","(1056920744, 'u')",mentioned,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",mentioned,
"(1372216173044011008, 't')","(28609906, 'u')",mentioned,
"(1375952133418147840, 't')","(35120520, 'u')",mentioned,
"(1376607348924424192, 't')","(107229595, 'u')",mentioned,
"(1237724478928379904, 't')",2020-03-11,tweeted_on,
"(1237776970739408896, 't')",2020-03-11,tweeted_on,
"(1237808759809826816, 't')",2020-03-11,tweeted_on,
"(1237825838067810304, 't')",2020-03-11,tweeted_on,
"(1237834845872504832, 't')",2020-03-11,tweeted_on,
"(1237919404030976000, 't')",2020-03-12,tweeted_on,
"(1237920345337679872, 't')",2020-03-12,tweeted_on,
"(1237925930976169984, 't')",2020-03-12,tweeted_on,
"(1237932610069749760, 't')",2020-03-12,tweeted_on,
"(1238067811185917952, 't')",2020-03-12,tweeted_on,
"(1238146533670834176, 't')",2020-03-12,tweeted_on,
"(1238170946378190848, 't')",2020-03-12,tweeted_on,
"(1238179661705646080, 't')",2020-03-12,tweeted_on,
"(1238202429478330368, 't')",2020-03-12,tweeted_on,
"(1238202512819097600, 't')",2020-03-12,tweeted_on,
"(1238227603065942016, 't')",2020-03-12,tweeted_on,
"(1238261515607818240, 't')",2020-03-13,tweeted_on,
"(1238265964791128064, 't')",2020-03-13,tweeted_on,
"(1238271381533364224, 't')",2020-03-13,tweeted_on,
"(1238287656192110592, 't')",2020-03-13,tweeted_on,
"(1238292625951567872, 't')",2020-03-13,tweeted_on,
"(1238345566179840000, 't')",2020-03-13,tweeted_on,
"(1238396519192989696, 't')",2020-03-13,tweeted_on,
"(1238396819568119808, 't')",2020-03-13,tweeted_on,
"(1238439707983220736, 't')",2020-03-13,tweeted_on,
"(1238461679052001280, 't')",2020-03-13,tweeted_on,
"(1238499220530679808, 't')",2020-03-13,tweeted_on,
"(1238515020788457472, 't')",2020-03-13,tweeted_on,
"(1238524498938220288, 't')",2020-03-13,tweeted_on,
"(1238539705374867712, 't')",2020-03-13,tweeted_on,
"(1238554818567786496, 't')",2020-03-13,tweeted_on,
"(1238556065509212160, 't')",2020-03-13,tweeted_on,
"(1238565761230098432, 't')",2020-03-13,tweeted_on,
"(1238588408814907392, 't')",2020-03-13,tweeted_on,
"(1238625094206771200, 't')",2020-03-14,tweeted_on,
"(1238628359921270784, 't')",2020-03-14,tweeted_on,
"(1238654470717767680, 't')",2020-03-14,tweeted_on,
"(1238667415380094976, 't')",2020-03-14,tweeted_on,
"(1238686834135191552, 't')",2020-03-14,tweeted_on,
"(1238746826011865088, 't')",2020-03-14,tweeted_on,
"(1238889051999965184, 't')",2020-03-14,tweeted_on,
"(1238918864223612928, 't')",2020-03-14,tweeted_on,
"(1238976449584844800, 't')",2020-03-14,tweeted_on,
"(1239007398729154560, 't')",2020-03-15,tweeted_on,
"(1239018166040158208, 't')",2020-03-15,tweeted_on,
"(1239021336900427776, 't')",2020-03-15,tweeted_on,
"(1239021489258520576, 't')",2020-03-15,tweeted_on,
"(1239214959193518080, 't')",2020-03-15,tweeted_on,
"(1239251962777894912, 't')",2020-03-15,tweeted_on,
"(1239251966850523136, 't')",2020-03-15,tweeted_on,
"(1239266294043566080, 't')",2020-03-15,tweeted_on,
"(1239268380210655232, 't')",2020-03-15,tweeted_on,
"(1239307988378107904, 't')",2020-03-15,tweeted_on,
"(1239321286070816768, 't')",2020-03-15,tweeted_on,
"(1239323212233633792, 't')",2020-03-15,tweeted_on,
"(1239328500042981376, 't')",2020-03-15,tweeted_on,
"(1239343473448210432, 't')",2020-03-16,tweeted_on,
"(1239347109402308608, 't')",2020-03-16,tweeted_on,
"(1239361498025037824, 't')",2020-03-16,tweeted_on,
"(1239485866185117696, 't')",2020-03-16,tweeted_on,
"(1239573861336834048, 't')",2020-03-16,tweeted_on,
"(1239581315269185536, 't')",2020-03-16,tweeted_on,
"(1239614419459432448, 't')",2020-03-16,tweeted_on,
"(1239686266381205504, 't')",2020-03-16,tweeted_on,
"(1239688352665718784, 't')",2020-03-16,tweeted_on,
"(1239688400766025728, 't')",2020-03-16,tweeted_on,
"(1239689584310509568, 't')",2020-03-16,tweeted_on,
"(1239691647903916032, 't')",2020-03-16,tweeted_on,
"(1239692149626515712, 't')",2020-03-16,tweeted_on,
"(1239696233876172800, 't')",2020-03-16,tweeted_on,
"(1239696881078243328, 't')",2020-03-16,tweeted_on,
"(1239698621768986624, 't')",2020-03-16,tweeted_on,
"(1239699254672687104, 't')",2020-03-16,tweeted_on,
"(1239700535038500864, 't')",2020-03-16,tweeted_on,
"(1239701916881305600, 't')",2020-03-16,tweeted_on,
"(1239703118662627328, 't')",2020-03-17,tweeted_on,
"(1239703422837739520, 't')",2020-03-17,tweeted_on,
"(1239704369592823808, 't')",2020-03-17,tweeted_on,
"(1239710700852768768, 't')",2020-03-17,tweeted_on,
"(1239711877472506112, 't')",2020-03-17,tweeted_on,
"(1239711961069146112, 't')",2020-03-17,tweeted_on,
"(1239712230993571840, 't')",2020-03-17,tweeted_on,
"(1239727583375196160, 't')",2020-03-17,tweeted_on,
"(1239731710104702976, 't')",2020-03-17,tweeted_on,
"(1239731884311097088, 't')",2020-03-17,tweeted_on,
"(1239736395649802240, 't')",2020-03-17,tweeted_on,
"(1239745857286582272, 't')",2020-03-17,tweeted_on,
"(1239746399098425088, 't')",2020-03-17,tweeted_on,
"(1239748177051303936, 't')",2020-03-17,tweeted_on,
"(1239755143597264896, 't')",2020-03-17,tweeted_on,
"(1239757053494808576, 't')",2020-03-17,tweeted_on,
"(1239764676059123712, 't')",2020-03-17,tweeted_on,
"(1239764789687025664, 't')",2020-03-17,tweeted_on,
"(1239768430955229184, 't')",2020-03-17,tweeted_on,
"(1239792316878995712, 't')",2020-03-17,tweeted_on,
"(1239797453756358912, 't')",2020-03-17,tweeted_on,
"(1239798086962049024, 't')",2020-03-17,tweeted_on,
"(1239807317731717120, 't')",2020-03-17,tweeted_on,
"(1239807711774007296, 't')",2020-03-17,tweeted_on,
"(1239830838650392576, 't')",2020-03-17,tweeted_on,
"(1239834303493582848, 't')",2020-03-17,tweeted_on,
"(1239892002742779904, 't')",2020-03-17,tweeted_on,
"(1239905117194706944, 't')",2020-03-17,tweeted_on,
"(1239911546169352192, 't')",2020-03-17,tweeted_on,
"(1239913811127099392, 't')",2020-03-17,tweeted_on,
"(1239934534906347520, 't')",2020-03-17,tweeted_on,
"(1239935574745608192, 't')",2020-03-17,tweeted_on,
"(1239935746707869696, 't')",2020-03-17,tweeted_on,
"(1239936530728112128, 't')",2020-03-17,tweeted_on,
"(1239936621140570112, 't')",2020-03-17,tweeted_on,
"(1239937789589782528, 't')",2020-03-17,tweeted_on,
"(1239938185376890880, 't')",2020-03-17,tweeted_on,
"(1239939793913446400, 't')",2020-03-17,tweeted_on,
"(1239940049904398336, 't')",2020-03-17,tweeted_on,
"(1239940782414368768, 't')",2020-03-17,tweeted_on,
"(1239940936907378688, 't')",2020-03-17,tweeted_on,
"(1239941313836924928, 't')",2020-03-17,tweeted_on,
"(1239942354829635584, 't')",2020-03-17,tweeted_on,
"(1239943202473259008, 't')",2020-03-17,tweeted_on,
"(1239943312439570432, 't')",2020-03-17,tweeted_on,
"(1239943529364766720, 't')",2020-03-17,tweeted_on,
"(1239943921695739904, 't')",2020-03-17,tweeted_on,
"(1239944023667691520, 't')",2020-03-17,tweeted_on,
"(1239959041083916288, 't')",2020-03-17,tweeted_on,
"(1239962780234473472, 't')",2020-03-17,tweeted_on,
"(1239963124540657664, 't')",2020-03-17,tweeted_on,
"(1239966307358924800, 't')",2020-03-17,tweeted_on,
"(1239966827490336768, 't')",2020-03-17,tweeted_on,
"(1239967490131652608, 't')",2020-03-17,tweeted_on,
"(1239979827488120832, 't')",2020-03-17,tweeted_on,
"(1239983527065600000, 't')",2020-03-17,tweeted_on,
"(1239985295224795136, 't')",2020-03-17,tweeted_on,
"(1239987012813205504, 't')",2020-03-17,tweeted_on,
"(1239988256319483904, 't')",2020-03-17,tweeted_on,
"(1239989464849514496, 't')",2020-03-17,tweeted_on,
"(1239992595364732928, 't')",2020-03-17,tweeted_on,
"(1239994749051961088, 't')",2020-03-17,tweeted_on,
"(1239995082574422016, 't')",2020-03-17,tweeted_on,
"(1239996023541338112, 't')",2020-03-17,tweeted_on,
"(1239997522199773184, 't')",2020-03-17,tweeted_on,
"(1240000001020792832, 't')",2020-03-17,tweeted_on,
"(1240001448630317056, 't')",2020-03-17,tweeted_on,
