head,tail,relation,weight
"(1272291195507535872, 't')","(23374944, 'u')",replied_to,
"(1272296351498244096, 't')","(23374944, 'u')",replied_to,
"(1272296948272263168, 't')","(39801678, 'u')",replied_to,
"(1272308804995051520, 't')","(97489605, 'u')",replied_to,
"(1272350970870067200, 't')","(69450341, 'u')",replied_to,
"(1272664714460360704, 't')","(97489605, 'u')",replied_to,
"(1272684532810932224, 't')","(798310159135211520, 'u')",replied_to,
"(1273016610014412800, 't')","(97489605, 'u')",replied_to,
"(1273021138956881920, 't')","(29045925, 'u')",replied_to,
"(1273268892962447360, 't')","(260800287, 'u')",replied_to,
"(1274024877066866688, 't')","(286322537, 'u')",replied_to,
"(1274233483703971840, 't')","(1327598383, 'u')",replied_to,
"(1274380137547485184, 't')","(97489605, 'u')",replied_to,
"(1274477186821439488, 't')","(10041062, 'u')",replied_to,
"(1274511633000230912, 't')","(1459027147, 'u')",replied_to,
"(1274796259115589632, 't')","(97489605, 'u')",replied_to,
"(1275288516532957184, 't')","(381823897, 'u')",replied_to,
"(1275537079586312192, 't')","(1071376012565311616, 'u')",replied_to,
"(1275884959530549248, 't')","(205500443, 'u')",replied_to,
"(1275909625838104576, 't')","(1612067526, 'u')",replied_to,
"(1276007835772440576, 't')","(247197623, 'u')",replied_to,
"(1277405691674689536, 't')","(865734756, 'u')",replied_to,
"(1277801499968499712, 't')","(865734756, 'u')",replied_to,
"(1277963095256690688, 't')","(4875488113, 'u')",replied_to,
"(1277970789812191232, 't')","(4875488113, 'u')",replied_to,
"(1278565752082010112, 't')","(62472511, 'u')",replied_to,
"(1278901847084765184, 't')","(707468037880987648, 'u')",replied_to,
"(1279871635902717952, 't')","(206023888, 'u')",replied_to,
"(1280292130435579904, 't')","(1127423732467679232, 'u')",replied_to,
"(1280605681867870208, 't')","(1127423732467679232, 'u')",replied_to,
"(1280605910193192960, 't')","(1127423732467679232, 'u')",replied_to,
"(1280945168544264192, 't')","(333674956, 'u')",replied_to,
"(1281275721709584384, 't')","(323161737, 'u')",replied_to,
"(1282056294698897408, 't')","(1209273395298258944, 'u')",replied_to,
"(1282759384645410816, 't')","(1077010731873095552, 'u')",replied_to,
"(1282775037527769088, 't')","(20564407, 'u')",replied_to,
"(1283691031846739968, 't')","(4786495154, 'u')",replied_to,
"(1283938563227217920, 't')","(14338572, 'u')",replied_to,
"(1285548858827616512, 't')","(273102523, 'u')",replied_to,
"(1287239349478682624, 't')","(199120695, 'u')",replied_to,
"(1287431141830451200, 't')","(543659463, 'u')",replied_to,
"(1288337340562157568, 't')","(15588971, 'u')",replied_to,
"(1291910694179188736, 't')","(1265886800767184896, 'u')",replied_to,
"(1293119574192189440, 't')","(517293449, 'u')",replied_to,
"(1293233604072374272, 't')","(45994463, 'u')",replied_to,
"(1293332261593468928, 't')","(752689838, 'u')",replied_to,
"(1294847137201569792, 't')","(3098609671, 'u')",replied_to,
"(1295534126464823296, 't')","(18779558, 'u')",replied_to,
"(1296553240410984448, 't')","(2644697608, 'u')",replied_to,
"(1296886409609936896, 't')","(1267103597164036096, 'u')",replied_to,
"(1298762730434789376, 't')","(1265886800767184896, 'u')",replied_to,
"(1299070490883973120, 't')","(846945457, 'u')",replied_to,
"(1299082044421488640, 't')","(3162953737, 'u')",replied_to,
"(1299172283790094336, 't')","(1084748577648259200, 'u')",replied_to,
"(1299318776538644480, 't')","(1087192932497539200, 'u')",replied_to,
"(1300344891063504896, 't')","(1200275206448664576, 'u')",replied_to,
"(1300655222792937472, 't')","(3133701864, 'u')",replied_to,
"(1301211985741254912, 't')","(2436079226, 'u')",replied_to,
"(1301383283100377088, 't')","(2808590695, 'u')",replied_to,
"(1303370592087810048, 't')","(31197211, 'u')",replied_to,
"(1303391405616689152, 't')","(802626918055026688, 'u')",replied_to,
"(1303418983064809472, 't')","(1301452639167602688, 'u')",replied_to,
"(1303798092425129984, 't')","(5949862, 'u')",replied_to,
"(1304463985077399552, 't')","(4519986015, 'u')",replied_to,
"(1307546871179567104, 't')","(1880353602, 'u')",replied_to,
"(1308481753699344384, 't')","(16898869, 'u')",replied_to,
"(1308892322151763968, 't')","(1134358451679686784, 'u')",replied_to,
"(1308892788801576960, 't')","(1134358451679686784, 'u')",replied_to,
"(1309379103213064192, 't')","(4884019394, 'u')",replied_to,
"(1309431881675321088, 't')","(3018328487, 'u')",replied_to,
"(1311693944569253888, 't')","(14719297, 'u')",replied_to,
"(1312119339890298880, 't')","(1206065406911234048, 'u')",replied_to,
"(1312529940584132608, 't')","(199120695, 'u')",replied_to,
"(1312610966392069888, 't')","(56440828, 'u')",replied_to,
"(1315295285120126976, 't')","(1262574068500291584, 'u')",replied_to,
"(1316419178962710528, 't')","(897908353, 'u')",replied_to,
"(1317751615734992896, 't')","(1230327472748519424, 'u')",replied_to,
"(1319069658071232512, 't')","(1241993407674777600, 'u')",replied_to,
"(1319811310859681792, 't')","(16501395, 'u')",replied_to,
"(1320138719001595904, 't')","(11006752, 'u')",replied_to,
"(1320138895669956608, 't')","(11006752, 'u')",replied_to,
"(1320154340024225792, 't')","(11006752, 'u')",replied_to,
"(1320228215395213312, 't')","(530874076, 'u')",replied_to,
"(1322313134195962112, 't')","(44816659, 'u')",replied_to,
"(1322410913207476224, 't')","(248414762, 'u')",replied_to,
"(1322411395221082112, 't')","(248414762, 'u')",replied_to,
"(1322412437375602688, 't')","(248414762, 'u')",replied_to,
"(1323902390567723008, 't')","(1287945445918928896, 'u')",replied_to,
"(1323910771235983360, 't')","(837235303, 'u')",replied_to,
"(1323924425188679680, 't')","(260800287, 'u')",replied_to,
"(1324212631285035008, 't')","(25282419, 'u')",replied_to,
"(1324233809630433280, 't')","(897908353, 'u')",replied_to,
"(1324237030776168448, 't')","(897908353, 'u')",replied_to,
"(1324747674474569728, 't')","(4228252965, 'u')",replied_to,
"(1324781924615770112, 't')","(624223996, 'u')",replied_to,
"(1325258029982347264, 't')","(1323450039021281280, 'u')",replied_to,
"(1325794707675508736, 't')","(1572081600, 'u')",replied_to,
"(1325946233676943360, 't')","(1230327472748519424, 'u')",replied_to,
"(1327327816724086784, 't')","(1095004133482885248, 'u')",replied_to,
"(1327535509694861312, 't')","(3924209712, 'u')",replied_to,
"(1327834778813440000, 't')","(1704646470, 'u')",replied_to,
"(1328112576132104192, 't')","(895224017883287552, 'u')",replied_to,
"(1328407387242254336, 't')","(3462122053, 'u')",replied_to,
"(1328863547254665216, 't')","(624223996, 'u')",replied_to,
"(1329133625812533248, 't')","(209487286, 'u')",replied_to,
"(1330188548436340736, 't')","(1544454668, 'u')",replied_to,
"(1331701479153881088, 't')","(1271259532333735936, 'u')",replied_to,
"(1332409217446076416, 't')","(919942305917706240, 'u')",replied_to,
"(1333179896592384000, 't')","(20396262, 'u')",replied_to,
"(1335648261693063168, 't')","(199120695, 'u')",replied_to,
"(1335829231486418944, 't')","(1408889839, 'u')",replied_to,
"(1335972906321342464, 't')","(598815102, 'u')",replied_to,
"(1336260836176789504, 't')","(293714243, 'u')",replied_to,
"(1336864313097682944, 't')","(2323052250, 'u')",replied_to,
"(1338264913219788800, 't')","(191633989, 'u')",replied_to,
"(1339749761474129920, 't')","(2323052250, 'u')",replied_to,
"(1340158301149884416, 't')","(1331434039190778112, 'u')",replied_to,
"(1341530859623514112, 't')","(815726335, 'u')",replied_to,
"(1342662111214723072, 't')","(42364349, 'u')",replied_to,
"(1343045719221923840, 't')","(45463439, 'u')",replied_to,
"(1345308464726216704, 't')","(2681706677, 'u')",replied_to,
"(1345567186975301632, 't')","(1177847479, 'u')",replied_to,
"(1346184530487435264, 't')","(1641069092, 'u')",replied_to,
"(1346569436895973376, 't')","(325679109, 'u')",replied_to,
"(1346923774700969984, 't')","(26501176, 'u')",replied_to,
"(1347453879181406208, 't')","(182491438, 'u')",replied_to,
"(1348569133860884480, 't')","(1078846682, 'u')",replied_to,
"(1351918030138216448, 't')","(26326911, 'u')",replied_to,
"(1352722631359774720, 't')","(2470269362, 'u')",replied_to,
"(1353519630229229568, 't')","(14257136, 'u')",replied_to,
"(1356796441667137536, 't')","(1301275236894085120, 'u')",replied_to,
"(1359651609400152064, 't')","(833468312134619136, 'u')",replied_to,
"(1359884469084123136, 't')","(2658147066, 'u')",replied_to,
"(1360961282015436800, 't')","(199120695, 'u')",replied_to,
"(1361791293421015040, 't')","(3307150214, 'u')",replied_to,
"(1362370623922561024, 't')","(1029905845293867008, 'u')",replied_to,
"(1364289941581144064, 't')","(199120695, 'u')",replied_to,
"(1364397856287690752, 't')","(1318270751342956288, 'u')",replied_to,
"(1364681363530547200, 't')","(45463439, 'u')",replied_to,
"(1364720063983493120, 't')","(293714243, 'u')",replied_to,
"(1364768972885794816, 't')","(1238655257762095104, 'u')",replied_to,
"(1366917611083026432, 't')","(31536491, 'u')",replied_to,
