head,tail,relation,weight
"(1237919404030976000, 't')",2020-03-12,tweeted_on,
"(1237919489087246336, 't')",2020-03-12,tweeted_on,
"(1237957432623710208, 't')",2020-03-12,tweeted_on,
"(1237991284431671296, 't')",2020-03-12,tweeted_on,
"(1238179391944798208, 't')",2020-03-12,tweeted_on,
"(1238179661705646080, 't')",2020-03-12,tweeted_on,
"(1238218600193769472, 't')",2020-03-12,tweeted_on,
"(1238227603065942016, 't')",2020-03-12,tweeted_on,
"(1238268729227649024, 't')",2020-03-13,tweeted_on,
"(1238271381533364224, 't')",2020-03-13,tweeted_on,
"(1238280647749201920, 't')",2020-03-13,tweeted_on,
"(1238396519192989696, 't')",2020-03-13,tweeted_on,
"(1238439707983220736, 't')",2020-03-13,tweeted_on,
"(1238479260110577664, 't')",2020-03-13,tweeted_on,
"(1238493808804782080, 't')",2020-03-13,tweeted_on,
"(1238505119110459392, 't')",2020-03-13,tweeted_on,
"(1238554818567786496, 't')",2020-03-13,tweeted_on,
"(1238565761230098432, 't')",2020-03-13,tweeted_on,
"(1238588408814907392, 't')",2020-03-13,tweeted_on,
"(1238635010086715392, 't')",2020-03-14,tweeted_on,
"(1238654470717767680, 't')",2020-03-14,tweeted_on,
"(1238654523159142400, 't')",2020-03-14,tweeted_on,
"(1238686834135191552, 't')",2020-03-14,tweeted_on,
"(1238929633086550016, 't')",2020-03-14,tweeted_on,
"(1238942054790512640, 't')",2020-03-14,tweeted_on,
"(1238951487268483072, 't')",2020-03-14,tweeted_on,
"(1239004778316742912, 't')",2020-03-15,tweeted_on,
"(1239021336900427776, 't')",2020-03-15,tweeted_on,
"(1239021489258520576, 't')",2020-03-15,tweeted_on,
"(1239023518102118400, 't')",2020-03-15,tweeted_on,
"(1239077194774667264, 't')",2020-03-15,tweeted_on,
"(1239252900926255104, 't')",2020-03-15,tweeted_on,
"(1239328500042981376, 't')",2020-03-15,tweeted_on,
"(1239347109402308608, 't')",2020-03-16,tweeted_on,
"(1239470251231686912, 't')",2020-03-16,tweeted_on,
"(1239576949934047232, 't')",2020-03-16,tweeted_on,
"(1239656812967690240, 't')",2020-03-16,tweeted_on,
"(1239675333604970496, 't')",2020-03-16,tweeted_on,
"(1239686266381205504, 't')",2020-03-16,tweeted_on,
"(1239692149626515712, 't')",2020-03-16,tweeted_on,
"(1239701916881305600, 't')",2020-03-16,tweeted_on,
"(1239722588839919616, 't')",2020-03-17,tweeted_on,
"(1239723057570181120, 't')",2020-03-17,tweeted_on,
"(1239757007961260032, 't')",2020-03-17,tweeted_on,
"(1239789303913312512, 't')",2020-03-17,tweeted_on,
"(1239936530728112128, 't')",2020-03-17,tweeted_on,
"(1240118252400828416, 't')",2020-03-18,tweeted_on,
